fare_id,route_id,origin_id,destination_id
170,24,368_02,282_02
170,25,121_01,124_01
170,25,121_01,125_01
170,25,121_01,334_01
170,25,121_01,335_01
170,25,124_01,125_01
170,25,124_01,335_01
170,25,124_01,336_01
170,25,124_01,337_01
170,25,124_02,121_02
170,25,124_02,334_02
170,25,125_01,335_01
170,25,125_01,336_01
170,25,125_01,337_01
170,25,125_02,121_02
170,25,125_02,124_02
170,25,125_02,334_02
170,25,334_01,124_01
170,25,334_01,125_01
170,25,334_01,335_01
170,25,334_02,121_02
170,25,335_01,336_01
170,25,335_01,337_01
170,25,335_02,121_02
170,25,335_02,124_02
170,25,335_02,125_02
170,25,335_02,334_02
170,25,336_01,337_01
170,25,336_02,124_02
170,25,336_02,125_02
170,25,336_02,335_02
170,25,336_02,373_02
170,25,336_02,374_02
170,25,336_02,375_01
170,25,337_01,338_01
170,25,337_01,339_01
170,25,337_01,340_01
170,25,337_01,341_01
170,25,337_02,124_02
170,25,337_02,125_02
170,25,337_02,335_02
170,25,337_02,336_02
170,25,337_02,373_02
170,25,337_02,374_02
170,25,337_02,375_01
170,25,338_01,339_01
170,25,338_01,340_01
170,25,338_01,341_01
170,25,338_02,337_02
170,25,339_01,340_01
170,25,339_01,341_01
170,25,339_02,337_02
170,25,339_02,338_02
170,25,340_01,341_01
170,25,341_01,337_02
170,25,341_01,338_02
170,25,341_01,339_02
170,25,370_01,371_01
170,25,370_01,372_01
170,25,370_01,373_01
170,25,370_01,374_01
170,25,370_01,375_01
170,25,370_01,376_01
170,25,371_01,370_01
170,25,371_01,372_01
170,25,371_01,373_01
170,25,371_01,374_01
170,25,371_01,375_01
170,25,371_01,376_01
170,25,372_01,370_01
170,25,372_01,371_01
170,25,372_01,373_01
170,25,372_01,374_01
170,25,372_01,375_01
170,25,372_01,376_01
170,25,373_01,336_01
170,25,373_01,337_01
170,25,373_01,374_01
170,25,373_01,375_01
170,25,373_02,370_01
170,25,373_02,371_01
170,25,373_02,372_01
170,25,373_02,376_01
170,25,374_01,336_01
170,25,374_01,337_01
170,25,374_01,375_01
170,25,374_02,370_01
170,25,374_02,371_01
170,25,374_02,372_01
170,25,374_02,373_02
170,25,374_02,376_01
170,25,375_01,336_01
170,25,375_01,337_01
170,25,375_01,370_01
170,25,375_01,371_01
170,25,375_01,372_01
170,25,375_01,373_02
170,25,375_01,374_02
170,25,375_01,376_01
170,26,141_01,151_01
170,26,141_01,152_01
170,26,141_01,153_02
170,26,151_01,152_01
170,26,151_01,153_02
170,26,151_02,141_02
170,26,152_01,153_02
170,26,152_02,141_02
170,26,152_02,151_02
170,26,153_02,141_02
170,26,153_02,151_02
170,26,153_02,152_02
170,26,153_02,230_01
170,26,153_02,231_01
170,26,230_01,231_01
170,26,230_01,232_01
170,26,230_01,233_01
170,26,230_01,234_01
170,26,230_02,153_02
170,26,231_01,232_01
170,26,231_01,233_01
170,26,231_01,234_01
170,26,231_02,153_02
170,26,231_02,230_02
170,26,232_01,233_01
170,26,232_01,234_01
170,26,232_01,235_01
170,26,232_02,230_02
170,26,232_02,231_02
170,26,233_01,234_01
170,26,233_01,235_01
170,26,233_02,230_02
170,26,233_02,231_02
170,26,233_02,232_02
170,26,234_01,235_01
170,26,234_02,230_02
